service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A51743AVVBSK-011,0,0,0,0,0,0,1,20120916,20121125
A54748AHCBSK-011,1,1,1,1,0,0,0,20120917,20121129
A54818ASZBSK-011,0,0,0,0,0,1,0,20120915,20121124
A55668APPBSK-011,0,0,0,0,1,0,0,20120914,20121130
A59730AHPSzGy011,1,1,1,1,1,0,0,20120914,20121130
A65119ASZGPP-021,0,0,0,0,0,1,0,20120915,20120915
A65120AVVGPP-021,0,0,0,0,0,0,1,20120916,20120916
A69165ASZSZM011,0,0,0,0,0,1,0,20120915,20121124
A71272ASZGPP-021,0,0,0,0,0,1,0,20120915,20121124
A71387ASZGPP-021,0,0,0,0,0,1,0,20120915,20121124
A72157ASZGPP-031,0,0,0,0,0,1,0,20120915,20121124
A73151AHCGPP-021,1,1,1,1,0,0,0,20120917,20121129
A73190APPGPP-021,0,0,0,0,1,0,0,20120921,20121130
A73212ASZGPP-021,0,0,0,0,0,1,0,20120929,20121124
A73215AVVGPP-021,0,0,0,0,0,0,1,20120930,20121125
A73394ASVGPP-041,0,0,0,0,0,1,1,20120915,20121125
A73738ASZKG-0011,0,0,0,0,0,1,0,20120915,20121124
A73989APPSZM011,0,0,0,0,1,0,0,20120914,20121130
A76911ASZSRM-011,0,0,0,0,0,1,0,20120915,20121124
A76912AVVSRM-011,0,0,0,0,0,0,1,20120916,20121125
A76946AHCSRM-011,1,1,1,1,0,0,0,20120917,20121129
A76947APPSRM-011,0,0,0,0,1,0,0,20120914,20121130
A77042ASZMK-011,0,0,0,0,0,1,0,20120915,20121124
A77791AHCSRM-021,1,1,1,1,0,0,0,20121001,20121129
A77793ASZSRM-021,0,0,0,0,0,1,0,20120915,20121124
A77794AVVSRM-021,0,0,0,0,0,0,1,20120916,20121125
A79526ASZPG-0021,0,0,0,0,0,1,0,20120915,20121124
A79556APPSRM-011,0,0,0,0,1,0,0,20120914,20121130
A79557ASZSRM-011,0,0,0,0,0,1,0,20120915,20121124
A79575ASZPG-0021,0,0,0,0,0,1,0,20120915,20121124
A79583ASZMA-0011,0,0,0,0,0,1,0,20120915,20121124
A79585ASZKG-0011,0,0,0,0,0,1,0,20120915,20121124
A79595APPGPP-011,0,0,0,0,1,0,0,20120914,20121130
A79599ASZMA-0011,0,0,0,0,0,1,0,20120915,20121124
A79600APPSRM-021,0,0,0,0,1,0,0,20120914,20121130
A79675ASZMA-0011,0,0,0,0,0,1,0,20120915,20121124
A79723ASZPG-0031,0,0,0,0,0,1,0,20120915,20121124
A79786APPKG-0011,0,0,0,0,1,0,0,20120914,20121130
A80206ACSMA-0011,0,0,0,1,0,0,0,20120913,20121129
A80206APPMA-0011,0,0,0,0,1,0,0,20120914,20121130
A80246APPMA-0011,0,0,0,0,1,0,0,20120921,20121123
A80246ASZMA-0011,0,0,0,0,0,1,0,20120922,20121124
A81619AVCSRM-021,1,1,1,1,0,0,1,20120916,20121129
A81644APSSRM-011,0,0,0,0,1,1,0,20120914,20121130
A81683ASZSRM-021,0,0,0,0,0,1,0,20120915,20121124
A82765ASZCsZ-021,0,0,0,0,0,1,0,20120915,20121124
A82766ASZPG-0041,0,0,0,0,0,1,0,20120929,20121124
A82769AVVPG-0041,0,0,0,0,0,0,1,20120916,20121125
A82776AVVCsZ-021,0,0,0,0,0,0,1,20120916,20121125
A82790ASZMA-0011,0,0,0,0,0,1,0,20120915,20121124
A82791AVVMA-0011,0,0,0,0,0,0,1,20120916,20121125
A82797APPSzM031,0,0,0,0,1,0,0,20120914,20121130
A82801ASZPG-0021,0,0,0,0,0,1,0,20120922,20121124
A82811ASZPG-0011,0,0,0,0,0,1,0,20120915,20121124
A82811ASZPG-0051,0,0,0,0,0,1,0,20120915,20121124
A82814ASZHA-0021,0,0,0,0,0,1,0,20120915,20121124
A82819AHPCSI-011,1,1,1,1,1,0,0,20120914,20121130
A82826ASZCsZ-051,0,0,0,0,0,1,0,20120915,20121124
A82830AHCKG-0011,1,1,1,1,0,0,0,20120917,20121129
A82831AVVKG-0011,0,0,0,0,0,0,1,20120916,20121125
A82838ASZCsZ-031,0,0,0,0,0,1,0,20120915,20121124
A82842AVVPG-0021,0,0,0,0,0,0,1,20120923,20121125
A82849AHCKG-0011,1,1,1,1,0,0,0,20120917,20121129
A82853ASZCsZ-031,0,0,0,0,0,1,0,20120915,20121124
A82854AVVCsZ-031,0,0,0,0,0,0,1,20120916,20121125
A82855ASZCsZ-021,0,0,0,0,0,1,0,20120915,20121124
A82857AVVCsZ-031,0,0,0,0,0,0,1,20120916,20121125
A82859AVVCsZ-021,0,0,0,0,0,0,1,20120916,20121125
A82869ASZCsZ-051,0,0,0,0,0,1,0,20120915,20121124
A82876ASZCsZ-051,0,0,0,0,0,1,0,20120915,20121124
A82878AVVCsZ-051,0,0,0,0,0,0,1,20120916,20121125
A82880AHPMA-0011,1,1,1,1,1,0,0,20120914,20121130
A82888AVVMA-0011,0,0,0,0,0,0,1,20120916,20121125
A82896ASZMA-0011,0,0,0,0,0,1,0,20120915,20121124
A82898AVVMA-0011,0,0,0,0,0,0,1,20120916,20121125
A82900AVVPG-0021,0,0,0,0,0,0,1,20120916,20121125
A82903ASZHA-0011,0,0,0,0,0,1,0,20120915,20121124
A82905AHPMA-0011,1,1,1,1,1,0,0,20120914,20121130
A82914AVVPG-0061,0,0,0,0,0,0,1,20120916,20121125
A82914AVVPG-0081,0,0,0,0,0,0,1,20120916,20121125
A82915ASZMA-0011,0,0,0,0,0,1,0,20120922,20121124
A82915AVVMA-0011,0,0,0,0,0,0,1,20120923,20121125
A82918ASZSzGy031,0,0,0,0,0,1,0,20120929,20121124
A82920AVVMA-0011,0,0,0,0,0,0,1,20120916,20121125
A82922AHPMA-0011,1,1,1,1,1,0,0,20120914,20121130
A82924ASZPG-0061,0,0,0,0,0,1,0,20120915,20121124
A82925AVVSzGy031,0,0,0,0,0,0,1,20120930,20121125
A82927ASZCsZ-041,0,0,0,0,0,1,0,20120915,20121124
A82930AHCSZM011,1,1,1,1,0,0,0,20120917,20121129
A82931AVVCsZ-041,0,0,0,0,0,0,1,20120916,20121125
A82933AVVMA-0011,0,0,0,0,0,0,1,20120916,20121125
A82939AVVSZM011,0,0,0,0,0,0,1,20120916,20121125
A82944AHPPG-0021,1,1,1,1,1,0,0,20120914,20121130
A82962AHPMK-011,1,1,1,1,1,0,0,20120914,20121130
A82969ASZCsZ-041,0,0,0,0,0,1,0,20120915,20121124
A82970AVVMK-011,0,0,0,0,0,0,1,20120916,20121125
A82973AHPPG-0031,1,1,1,1,1,0,0,20120914,20121130
A82975AHCSzM031,1,1,1,1,0,0,0,20120917,20121129
A82980ASZCsZ-031,0,0,0,0,0,1,0,20120915,20121124
A82982ASZPG-0021,0,0,0,0,0,1,0,20120915,20121124
A82984ASZHA-0021,0,0,0,0,0,1,0,20120915,20121124
A82987AVVPG-0021,0,0,0,0,0,0,1,20120916,20121125
A82988AVVHA-0021,0,0,0,0,0,0,1,20120916,20121125
A82989TJHPGPP-011,1,1,1,1,1,0,0,20120914,20121130
A82995AHCPG-0041,1,1,1,1,0,0,0,20120917,20121129
A82999NHSVGPP-011,0,0,0,0,0,1,1,20120915,20121125
A83007AVVPG-0031,0,0,0,0,0,0,1,20120916,20121125
A83008APPPG-0041,0,0,0,0,1,0,0,20120914,20121130
A83009ASVSzM031,0,0,0,0,0,1,1,20120915,20121125
A83012AVVCsZ-101,0,0,0,0,0,0,1,20120916,20121125
A83020ASZCSI-011,0,0,0,0,0,1,0,20120915,20121124
A83027AHPMA-0011,1,1,1,1,1,0,0,20120914,20121130
A83030AHCSRM-011,1,1,1,1,0,0,0,20120917,20120927
A83032APPSRM-011,0,0,0,0,1,0,0,20120914,20121130
A83035ASZSRM-011,0,0,0,0,0,1,0,20120915,20121124
A83038AVVSRM-011,0,0,0,0,0,0,1,20120916,20121125
A83042AHPGPP-021,1,1,1,1,1,0,0,20120914,20121130
A83045AVVGPP-021,0,0,0,0,0,0,1,20120916,20121125
