service_id,date,exception_type
A51743AVVBSK-011,20121023,1
A51743AVVBSK-011,20121101,1
A54748AHCBSK-011,20121022,2
A54748AHCBSK-011,20121023,2
A54748AHCBSK-011,20121026,1
A54748AHCBSK-011,20121031,2
A54748AHCBSK-011,20121101,2
A54748AHCBSK-011,20121109,1
A54818ASZBSK-011,20121022,1
A54818ASZBSK-011,20121027,2
A54818ASZBSK-011,20121102,1
A54818ASZBSK-011,20121110,2
A55668APPBSK-011,20121026,2
A55668APPBSK-011,20121027,1
A55668APPBSK-011,20121031,1
A55668APPBSK-011,20121102,2
A55668APPBSK-011,20121109,2
A55668APPBSK-011,20121110,1
A59730AHPSzGy011,20121022,2
A59730AHPSzGy011,20121023,2
A59730AHPSzGy011,20121027,1
A59730AHPSzGy011,20121101,2
A59730AHPSzGy011,20121102,2
A59730AHPSzGy011,20121110,1
A69165ASZSZM011,20121022,1
A69165ASZSZM011,20121027,2
A69165ASZSZM011,20121102,1
A69165ASZSZM011,20121110,2
A71272ASZGPP-021,20121022,1
A71272ASZGPP-021,20121027,2
A71272ASZGPP-021,20121102,1
A71272ASZGPP-021,20121110,2
A71387ASZGPP-021,20121022,1
A71387ASZGPP-021,20121027,2
A71387ASZGPP-021,20121102,1
A71387ASZGPP-021,20121110,2
A72157ASZGPP-031,20121022,1
A72157ASZGPP-031,20121027,2
A72157ASZGPP-031,20121102,1
A72157ASZGPP-031,20121110,2
A73151AHCGPP-021,20121022,2
A73151AHCGPP-021,20121023,2
A73151AHCGPP-021,20121026,1
A73151AHCGPP-021,20121031,2
A73151AHCGPP-021,20121101,2
A73151AHCGPP-021,20121109,1
A73190APPGPP-021,20121026,2
A73190APPGPP-021,20121027,1
A73190APPGPP-021,20121031,1
A73190APPGPP-021,20121102,2
A73190APPGPP-021,20121109,2
A73190APPGPP-021,20121110,1
A73212ASZGPP-021,20121022,1
A73212ASZGPP-021,20121027,2
A73212ASZGPP-021,20121102,1
A73212ASZGPP-021,20121110,2
A73215AVVGPP-021,20121023,1
A73215AVVGPP-021,20121101,1
A73394ASVGPP-041,20120922,2
A73394ASVGPP-041,20120923,2
A73394ASVGPP-041,20121022,1
A73394ASVGPP-041,20121023,1
A73394ASVGPP-041,20121027,2
A73394ASVGPP-041,20121101,1
A73394ASVGPP-041,20121102,1
A73394ASVGPP-041,20121110,2
A73738ASZKG-0011,20121022,1
A73738ASZKG-0011,20121027,2
A73738ASZKG-0011,20121102,1
A73738ASZKG-0011,20121110,2
A73989APPSZM011,20121026,2
A73989APPSZM011,20121027,1
A73989APPSZM011,20121031,1
A73989APPSZM011,20121102,2
A73989APPSZM011,20121109,2
A73989APPSZM011,20121110,1
A76911ASZSRM-011,20121022,1
A76911ASZSRM-011,20121027,2
A76911ASZSRM-011,20121102,1
A76911ASZSRM-011,20121110,2
A76912AVVSRM-011,20121023,1
A76912AVVSRM-011,20121101,1
A76946AHCSRM-011,20121022,2
A76946AHCSRM-011,20121023,2
A76946AHCSRM-011,20121026,1
A76946AHCSRM-011,20121031,2
A76946AHCSRM-011,20121101,2
A76946AHCSRM-011,20121109,1
A76947APPSRM-011,20121026,2
A76947APPSRM-011,20121027,1
A76947APPSRM-011,20121031,1
A76947APPSRM-011,20121102,2
A76947APPSRM-011,20121109,2
A76947APPSRM-011,20121110,1
A77042ASZMK-011,20121022,1
A77042ASZMK-011,20121027,2
A77042ASZMK-011,20121102,1
A77042ASZMK-011,20121110,2
A77791AHCSRM-021,20121022,2
A77791AHCSRM-021,20121023,2
A77791AHCSRM-021,20121026,1
A77791AHCSRM-021,20121031,2
A77791AHCSRM-021,20121101,2
A77791AHCSRM-021,20121109,1
A77793ASZSRM-021,20121022,1
A77793ASZSRM-021,20121027,2
A77793ASZSRM-021,20121102,1
A77793ASZSRM-021,20121110,2
A77794AVVSRM-021,20121023,1
A77794AVVSRM-021,20121101,1
A79526ASZPG-0021,20121022,1
A79526ASZPG-0021,20121027,2
A79526ASZPG-0021,20121102,1
A79526ASZPG-0021,20121110,2
A79556APPSRM-011,20121026,2
A79556APPSRM-011,20121027,1
A79556APPSRM-011,20121031,1
A79556APPSRM-011,20121102,2
A79556APPSRM-011,20121109,2
A79556APPSRM-011,20121110,1
A79557ASZSRM-011,20121022,1
A79557ASZSRM-011,20121027,2
A79557ASZSRM-011,20121102,1
A79557ASZSRM-011,20121110,2
A79575ASZPG-0021,20121022,1
A79575ASZPG-0021,20121027,2
A79575ASZPG-0021,20121102,1
A79575ASZPG-0021,20121110,2
A79583ASZMA-0011,20121022,1
A79583ASZMA-0011,20121027,2
A79583ASZMA-0011,20121102,1
A79583ASZMA-0011,20121110,2
A79585ASZKG-0011,20121022,1
A79585ASZKG-0011,20121027,2
A79585ASZKG-0011,20121102,1
A79585ASZKG-0011,20121110,2
A79595APPGPP-011,20121026,2
A79595APPGPP-011,20121027,1
A79595APPGPP-011,20121031,1
A79595APPGPP-011,20121102,2
A79595APPGPP-011,20121109,2
A79595APPGPP-011,20121110,1
A79599ASZMA-0011,20121022,1
A79599ASZMA-0011,20121027,2
A79599ASZMA-0011,20121102,1
A79599ASZMA-0011,20121110,2
A79600APPSRM-021,20121026,2
A79600APPSRM-021,20121027,1
A79600APPSRM-021,20121031,1
A79600APPSRM-021,20121102,2
A79600APPSRM-021,20121109,2
A79600APPSRM-021,20121110,1
A79675ASZMA-0011,20121022,1
A79675ASZMA-0011,20121027,2
A79675ASZMA-0011,20121102,1
A79675ASZMA-0011,20121110,2
A79723ASZPG-0031,20120922,2
A79723ASZPG-0031,20121022,1
A79723ASZPG-0031,20121027,2
A79723ASZPG-0031,20121102,1
A79723ASZPG-0031,20121110,2
A79786APPKG-0011,20121026,2
A79786APPKG-0011,20121027,1
A79786APPKG-0011,20121031,1
A79786APPKG-0011,20121102,2
A79786APPKG-0011,20121109,2
A79786APPKG-0011,20121110,1
A80206ACSMA-0011,20121025,2
A80206ACSMA-0011,20121026,1
A80206ACSMA-0011,20121030,1
A80206ACSMA-0011,20121101,2
A80206ACSMA-0011,20121108,2
A80206ACSMA-0011,20121109,1
A80206APPMA-0011,20121026,2
A80206APPMA-0011,20121027,1
A80206APPMA-0011,20121031,1
A80206APPMA-0011,20121102,2
A80206APPMA-0011,20121109,2
A80206APPMA-0011,20121110,1
A80246APPMA-0011,20121021,1
A80246APPMA-0011,20121026,2
A80246APPMA-0011,20121101,1
A80246APPMA-0011,20121109,2
A80246ASZMA-0011,20121022,1
A80246ASZMA-0011,20121027,2
A80246ASZMA-0011,20121102,1
A80246ASZMA-0011,20121110,2
A81619AVCSRM-021,20121022,2
A81619AVCSRM-021,20121026,1
A81619AVCSRM-021,20121031,2
A81619AVCSRM-021,20121109,1
A81644APSSRM-011,20121022,1
A81644APSSRM-011,20121026,2
A81644APSSRM-011,20121031,1
A81644APSSRM-011,20121109,2
A81683ASZSRM-021,20121022,1
A81683ASZSRM-021,20121027,2
A81683ASZSRM-021,20121102,1
A81683ASZSRM-021,20121110,2
A82765ASZCsZ-021,20121022,1
A82765ASZCsZ-021,20121027,2
A82765ASZCsZ-021,20121102,1
A82765ASZCsZ-021,20121110,2
A82766ASZPG-0041,20121022,1
A82766ASZPG-0041,20121027,2
A82766ASZPG-0041,20121102,1
A82766ASZPG-0041,20121110,2
A82769AVVPG-0041,20120923,2
A82769AVVPG-0041,20121023,1
A82769AVVPG-0041,20121101,1
A82776AVVCsZ-021,20121023,1
A82776AVVCsZ-021,20121101,1
A82790ASZMA-0011,20121022,1
A82790ASZMA-0011,20121027,2
A82790ASZMA-0011,20121102,1
A82790ASZMA-0011,20121110,2
A82791AVVMA-0011,20121023,1
A82791AVVMA-0011,20121101,1
A82797APPSzM031,20121026,2
A82797APPSzM031,20121027,1
A82797APPSzM031,20121031,1
A82797APPSzM031,20121102,2
A82797APPSzM031,20121109,2
A82797APPSzM031,20121110,1
A82801ASZPG-0021,20121022,1
A82801ASZPG-0021,20121027,2
A82801ASZPG-0021,20121102,1
A82801ASZPG-0021,20121110,2
A82811ASZPG-0011,20121022,1
A82811ASZPG-0011,20121027,2
A82811ASZPG-0011,20121102,1
A82811ASZPG-0011,20121110,2
A82811ASZPG-0051,20121022,1
A82811ASZPG-0051,20121027,2
A82811ASZPG-0051,20121102,1
A82811ASZPG-0051,20121110,2
A82814ASZHA-0021,20121022,1
A82814ASZHA-0021,20121027,2
A82814ASZHA-0021,20121102,1
A82814ASZHA-0021,20121110,2
A82819AHPCSI-011,20121022,2
A82819AHPCSI-011,20121023,2
A82819AHPCSI-011,20121027,1
A82819AHPCSI-011,20121101,2
A82819AHPCSI-011,20121102,2
A82819AHPCSI-011,20121110,1
A82826ASZCsZ-051,20121022,1
A82826ASZCsZ-051,20121027,2
A82826ASZCsZ-051,20121102,1
A82826ASZCsZ-051,20121110,2
A82830AHCKG-0011,20121022,2
A82830AHCKG-0011,20121023,2
A82830AHCKG-0011,20121026,1
A82830AHCKG-0011,20121031,2
A82830AHCKG-0011,20121101,2
A82830AHCKG-0011,20121109,1
A82831AVVKG-0011,20121023,1
A82831AVVKG-0011,20121101,1
A82838ASZCsZ-031,20121022,1
A82838ASZCsZ-031,20121027,2
A82838ASZCsZ-031,20121102,1
A82838ASZCsZ-031,20121110,2
A82842AVVPG-0021,20121023,1
A82842AVVPG-0021,20121101,1
A82849AHCKG-0011,20121022,2
A82849AHCKG-0011,20121023,2
A82849AHCKG-0011,20121026,1
A82849AHCKG-0011,20121031,2
A82849AHCKG-0011,20121101,2
A82849AHCKG-0011,20121109,1
A82853ASZCsZ-031,20121022,1
A82853ASZCsZ-031,20121027,2
A82853ASZCsZ-031,20121102,1
A82853ASZCsZ-031,20121110,2
A82854AVVCsZ-031,20121023,1
A82854AVVCsZ-031,20121101,1
A82855ASZCsZ-021,20121022,1
A82855ASZCsZ-021,20121027,2
A82855ASZCsZ-021,20121102,1
A82855ASZCsZ-021,20121110,2
A82857AVVCsZ-031,20121023,1
A82857AVVCsZ-031,20121101,1
A82859AVVCsZ-021,20121023,1
A82859AVVCsZ-021,20121101,1
A82869ASZCsZ-051,20121022,1
A82869ASZCsZ-051,20121027,2
A82869ASZCsZ-051,20121102,1
A82869ASZCsZ-051,20121110,2
A82876ASZCsZ-051,20121022,1
A82876ASZCsZ-051,20121027,2
A82876ASZCsZ-051,20121102,1
A82876ASZCsZ-051,20121110,2
A82878AVVCsZ-051,20121023,1
A82878AVVCsZ-051,20121101,1
A82880AHPMA-0011,20121022,2
A82880AHPMA-0011,20121023,2
A82880AHPMA-0011,20121027,1
A82880AHPMA-0011,20121101,2
A82880AHPMA-0011,20121102,2
A82880AHPMA-0011,20121110,1
A82888AVVMA-0011,20121023,1
A82888AVVMA-0011,20121101,1
A82896ASZMA-0011,20121022,1
A82896ASZMA-0011,20121027,2
A82896ASZMA-0011,20121102,1
A82896ASZMA-0011,20121110,2
A82898AVVMA-0011,20121023,1
A82898AVVMA-0011,20121101,1
A82900AVVPG-0021,20121023,1
A82900AVVPG-0021,20121101,1
A82903ASZHA-0011,20121022,1
A82903ASZHA-0011,20121027,2
A82903ASZHA-0011,20121102,1
A82903ASZHA-0011,20121110,2
A82905AHPMA-0011,20121022,2
A82905AHPMA-0011,20121023,2
A82905AHPMA-0011,20121027,1
A82905AHPMA-0011,20121101,2
A82905AHPMA-0011,20121102,2
A82905AHPMA-0011,20121110,1
A82914AVVPG-0061,20121023,1
A82914AVVPG-0061,20121101,1
A82914AVVPG-0081,20121023,1
