route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
HP61,BKK,H8H,,"Örs vezér tere M+H / Cinkota H",3,1188FF,000000
HP614,BKK,H8HE,,"Kerepes H / Gödöllő H",3,1188FF,000000
HP64,BKK,H5,,"Szentendre H / Békásmegyer H",3,1188FF,000000
VP06,BKK,6V,,"Móricz Zsigmond körtér / Széll Kálmán tér M",3,1188FF,000000
VP18,BKK,18,,"Széll Kálmán tér M / Újbuda-központ",3,1188FF,000000
VP37,BKK,37V,,"Hidegkuti Nándor Stadion / Kőbánya felső vasútállomás",3,1188FF,000000
VP46,BKK,4-6V,,"Széll Kálmán tér M / Oktogon",3,1188FF,000000
V1941,BKK,1941V,,"Kelenföldi pályaudvar / Batthyány tér M+H",3,1188FF,000000
0050,BKK,5,,"Pasaréti tér / Rákospalota, Kossuth utca",3,1188FF,000000
0070,BKK,7,,"Bosnyák tér / Albertfalva vasútállomás",3,1188FF,000000
0075,BKK,7E,,"Kelenföldi pályaudvar / Bosnyák tér",3,1188FF,000000
0080,BKK,8,,"Uránia / Gazdagréti tér",3,1188FF,000000
0090,BKK,9,,"Kőbánya alsó vasútállomás / Deák Ferenc tér M",3,1188FF,000000
0110,BKK,11,,"Batthyány tér M+H / Nagybányai út",3,1188FF,000000
0130,BKK,13,,"Budatétény vasútállomás (Campona) / Diósd, Búzavirág utca",3,1188FF,000000
0131,BKK,13A,,"Budatétény vasútállomás (Campona) / Diósd, Sashegyi út",3,1188FF,000000
0150,BKK,15,,"Boráros tér H / Lehel tér M",3,1188FF,000000
0160,BKK,16,,"Széll Kálmán tér M / Deák Ferenc tér M",3,1188FF,000000
0161,BKK,16A,,"Széll Kálmán tér M / Dísz tér",3,1188FF,000000
0205,BKK,20E,,"Káposztásmegyer, Szilas-patak / Keleti pályaudvar M",3,1188FF,000000
0210,BKK,21,,"Széll Kálmán tér M / Csillebérc, KFKI",3,1188FF,000000
0211,BKK,21A,,"Széll Kálmán tér M / Normafa",3,1188FF,000000
0220,BKK,22,,"Széll Kálmán tér M / Budakeszi, Táncsics Mihály utca",3,1188FF,000000
0230,BKK,23,,"Boráros tér H / Pesterzsébet, Ady Endre tér",3,1188FF,000000
0235,BKK,23E,,"Boráros tér H / Pesterzsébet, Ady Endre tér",3,1188FF,000000
0250,BKK,25,,"Mexikói út M / Újpest-Központ M",3,1188FF,000000
0260,BKK,26,,"Nyugati pályaudvar M / Árpád híd M",3,1188FF,000000
0270,BKK,27,,"Sánc utca / Móricz Zsigmond körtér",3,1188FF,000000
0290,BKK,29,,"Szentlélek tér H / Hűvösvölgy",3,1188FF,000000
0300,BKK,30,,"Keleti pályaudvar M / Káposztásmegyer, Mogyoródi-patak",3,1188FF,000000
0301,BKK,30A,,"Keleti pályaudvar M / Megyer, Szondi utca",3,1188FF,000000
0310,BKK,31,,"Örs vezér tere M+H / Árpádföld, Bekecs utca",3,1188FF,000000
0320,BKK,32,,"Árpád híd M / Örs vezér tere M+H",3,1188FF,000000
0330,BKK,33,,"Móricz Zsigmond körtér / Nagytétény, Chinoin",3,1188FF,000000
0335,BKK,33E,,"Móricz Zsigmond körtér / Nagytétény vasútállomás",3,1188FF,000000
0337,BKK,33,,"Móricz Zsigmond körtér / Harbor Park",3,1188FF,000000
0340,BKK,34,,"Árpád híd M / Békásmegyer, Újmegyeri tér",3,1188FF,000000
0350,BKK,35,,"Csepel, Csillagtelep / Szentlőrinci úti lakótelep",3,1188FF,000000
