stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
F00001,"Mihály utca",47.486079,19.034561,,,2
F00002,"Zsolt utca",47.490477,19.030486,,,2
F00003,"Zsolt utca",47.49098,19.030327,,,2
F00004,"Avar utca",47.488294,19.031037,,,2
F00005,"Mészáros utca",47.488609,19.031581,,,2
F00006,"Sánc utca",47.490136,19.036047,,,2
F00007,"Sánc utca",47.489569,19.035516,,,2
F00008,"Sánc utca",47.489659,19.035742,,,2
F00009,"Sánc utca",47.489464,19.035814,,,2
F00010,"Szirtes út",47.487671,19.036432,,,2
F00011,"Szirtes út",47.488247,19.037042,,,2
F00012,"Búsuló Juhász (Citadella)",47.485594,19.039551,,,2
F00013,"Alkotás utca",47.494937,19.022906,,,2
F00014,"Márvány utca",47.494442,19.023929,,,2
F00015,"Márvány utca",47.494823,19.023722,,,2
F00016,"Királyhágó utca",47.495575,19.023105,,,2
F00017,"Királyhágó utca",47.496016,19.02349,,,2
F00018,"Királyhágó utca",47.495633,19.023642,,,2
F00019,"Nagyenyed utca",47.498007,19.02388,,,2
F00020,"Nagyenyed utca",47.498349,19.024,,,2
F00021,"Déli pályaudvar M",47.499605,19.023793,,,2
F00022,"Déli pályaudvar M",47.499668,19.024192,,,2
F00023,"Déli pályaudvar M",47.499995,19.023826,,,2
F00024,"Déli pályaudvar M",47.500832,19.024038,,,2
F00025,"Déli pályaudvar M",47.501057,19.024158,,,2
F00026,"Déli pályaudvar M",47.500814,19.024994,,,2
F00027,"Déli pályaudvar M",47.501075,19.024649,,,2
F00028,"Körmöci utca",47.504427,19.024906,,,2
F00029,"Körmöci utca",47.50416,19.024979,,,2
F00030,"Ostrom utca",47.505969,19.028642,,,2
F00031,"Mátray utca",47.505929,19.027242,,,2
F00032,"Széna tér",47.508043,19.029179,,,2
F00033,"Széna tér",47.507782,19.028184,,,2
F00034,"Fazekas utca",47.508125,19.034317,,,2
F00035,"Csalogány utca",47.507972,19.034144,,,2
F00036,"Fazekas utca",47.507855,19.033454,,,2
F00037,"Ybl Miklós tér",47.494232,19.043219,,,2
F00045,"Donáti utca",47.501352,19.036044,,,2
F00047,"Clark Ádám tér",47.49833,19.039828,,,2
F00048,"Clark Ádám tér",47.498177,19.040013,,,2
F00049,"Clark Ádám tér",47.497665,19.040664,,,2
F00050,"Clark Ádám tér",47.497821,19.040803,,,2
F00051,"Halász utca",47.502255,19.039847,,,1
F00052,"Halász utca",47.501841,19.040019,,,1
F00053,"Halász utca",47.502534,19.039754,,,2
F00056,"Szilágyi Dezső tér",47.503343,19.038439,,,2
F00059,"Batthyány tér M+H",47.505922,19.038008,,,2
F00060,"Batthyány tér",47.506752,19.039328,0,008187,2
F00062,"Batthyány tér",47.506491,19.037191,0,008624,2
F00063,"Batthyány tér",47.506192,19.038552,0,008624,2
F00064,"Batthyány tér M+H",47.506641,19.038804,,,2
F00065,"Batthyány tér M+H",47.506591,19.039288,,,2
F00066,"Batthyány tér M+H",47.506168,19.039089,,,2
F00067,"Batthyány tér M+H",47.505985,19.038578,,,2
